"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","59.5565","58.9010","59.6250","58.9010","1.09%"
"Oct 23, 2019","58.9150","58.5880","58.9950","58.5880","0.42%"
"Oct 22, 2019","58.6700","58.4300","58.7050","58.4290","0.43%"
"Oct 21, 2019","58.4160","58.2740","58.6560","58.2740","0.24%"
"Oct 18, 2019","58.2785","58.2475","58.4705","58.2475","0.07%"
"Oct 17, 2019","58.2400","58.3100","58.3250","58.1080","-0.19%"
"Oct 16, 2019","58.3500","58.2800","58.6300","57.7500","0.13%"
"Oct 15, 2019","58.2750","57.8600","58.2850","57.7450","0.41%"
"Oct 14, 2019","58.0350","58.0350","58.0350","58.0350","0.00%"
"Oct 11, 2019","58.0350","57.9350","58.0750","56.0150","0.18%"
"Oct 10, 2019","57.9310","57.8800","58.1650","56.1350","0.31%"
"Oct 09, 2019","57.7500","57.6500","59.7400","57.6500","-0.17%"
"Oct 08, 2019","57.8475","55.9025","57.8475","55.9025","0.02%"
"Oct 07, 2019","57.8350","57.3900","57.9300","55.9250","0.30%"
"Oct 04, 2019","57.6630","57.7950","57.9650","56.0250","-0.01%"
"Oct 03, 2019","57.6700","56.0100","57.8000","56.0100","-0.27%"
"Oct 02, 2019","57.8250","56.0050","57.9350","56.0050","0.31%"
"Oct 01, 2019","57.6450","55.5050","57.7350","55.5050","0.09%"
"Sep 30, 2019","57.5925","55.5025","57.5925","55.5025","0.47%"
"Sep 27, 2019","57.3250","57.1650","57.3500","55.5050","0.28%"
"Sep 26, 2019","57.1650","55.1320","57.3420","55.1320","0.30%"
"Sep 25, 2019","56.9945","55.1135","57.1845","55.1135","0.22%"
"Sep 24, 2019","56.8700","55.0100","56.9700","55.0100","-0.10%"
"Sep 23, 2019","56.9250","55.0050","56.9350","55.0050","0.46%"
"Sep 20, 2019","56.6650","56.4040","56.6650","55.0050","0.30%"
"Sep 19, 2019","56.4950","56.4390","56.7360","55.0960","0.08%"
"Sep 18, 2019","56.4490","55.1060","56.6260","55.1060","-0.08%"
"Sep 17, 2019","56.4925","54.5075","56.5075","54.5075","0.40%"
"Sep 16, 2019","56.2700","55.9320","56.3100","54.2600","0.33%"
"Sep 13, 2019","56.0855","54.4135","56.3435","54.4135","-0.03%"
"Sep 12, 2019","56.1000","54.0200","56.2800","54.0200","-0.13%"
"Sep 11, 2019","56.1750","55.8470","56.1750","54.0050","0.37%"
"Sep 10, 2019","55.9680","56.1360","56.2360","54.1260","-0.08%"
"Sep 09, 2019","56.0150","55.2490","56.0650","52.9850","0.36%"
"Sep 06, 2019","55.8150","54.0150","55.9850","54.0150","-0.37%"
"Sep 05, 2019","56.0200","55.8520","56.1000","53.0200","0.16%"
"Sep 04, 2019","55.9315","55.9345","56.0800","53.0045","-0.02%"
"Sep 03, 2019","55.9400","53.0100","56.0955","53.0100","-3.97%"
"Sep 02, 2019","58.2500","60.2455","61.2455","54.7500","-2.10%"
"Aug 30, 2019","59.5000","56.0045","59.5100","56.0045","2.80%"
"Aug 29, 2019","57.8800","58.0100","60.2485","56.0100","-0.12%"
"Aug 28, 2019","57.9500","56.1350","59.0055","54.0100","2.97%"
"Aug 27, 2019","56.2775","55.2945","56.4250","53.0045","1.77%"
"Aug 26, 2019","55.3000","55.1700","55.4100","53.0045","0.24%"
"Aug 23, 2019","55.1700","55.0700","55.3555","53.0200","0.11%"
"Aug 22, 2019","55.1075","55.2615","55.2615","52.0275","0.20%"
"Aug 21, 2019","55.0000","54.6980","55.1455","52.0300","0.50%"
"Aug 20, 2019","54.7250","54.6830","55.7855","52.0150","-0.20%"
"Aug 19, 2019","54.8370","54.8385","54.8395","54.5105","-0.00%"
"Aug 16, 2019","54.8385","57.0745","57.8620","52.5045","-4.21%"
"Aug 15, 2019","57.2500","60.2070","60.4190","52.1500","-4.97%"
"Aug 14, 2019","60.2425","55.2385","60.2425","55.0045","8.40%"
"Aug 13, 2019","55.5740","51.9985","58.7500","51.0045","4.86%"
"Aug 12, 2019","53.0000","46.0905","62.8455","45.9740","17.13%"
"Aug 09, 2019","45.2500","45.1285","45.4600","45.0715","0.17%"
"Aug 08, 2019","45.1715","45.5100","45.5100","45.0715","-0.74%"
