"Date","Price","Open","High","Low","Change %"
"Nov 01, 2019","70.760","70.972","70.990","70.760","-0.31%"
"Oct 31, 2019","70.980","70.762","71.065","70.724","0.04%"
"Oct 30, 2019","70.953","70.871","71.026","70.840","0.09%"
"Oct 29, 2019","70.890","70.750","70.920","70.690","0.20%"
"Oct 28, 2019","70.745","70.822","70.842","70.684","-0.11%"
"Oct 25, 2019","70.820","71.045","71.073","70.782","-0.20%"
"Oct 24, 2019","70.965","70.715","71.085","70.715","0.34%"
"Oct 23, 2019","70.725","71.005","71.033","70.725","-0.12%"
"Oct 22, 2019","70.809","70.912","71.007","70.809","-0.16%"
"Oct 21, 2019","70.925","71.075","71.075","70.778","-0.23%"
"Oct 18, 2019","71.090","71.200","71.320","71.040","-0.06%"
"Oct 17, 2019","71.130","71.362","71.475","71.096","-0.33%"
"Oct 16, 2019","71.364","71.562","71.733","71.348","-0.19%"
"Oct 15, 2019","71.500","71.248","71.605","71.220","0.37%"
"Oct 14, 2019","71.237","70.894","71.249","70.740","0.44%"
"Oct 11, 2019","70.924","70.816","71.091","70.799","-0.09%"
"Oct 10, 2019","70.990","70.960","71.165","70.960","-0.18%"
"Oct 09, 2019","71.120","71.180","71.230","70.945","-0.14%"
"Oct 08, 2019","71.220","70.996","71.233","70.933","0.35%"
"Oct 07, 2019","70.975","70.959","71.106","70.913","0.21%"
"Oct 04, 2019","70.825","70.810","71.040","70.765","-0.29%"
"Oct 03, 2019","71.030","71.210","71.370","70.865","-0.17%"
"Oct 02, 2019","71.150","71.117","71.368","71.100","0.06%"
"Oct 01, 2019","71.110","70.655","71.170","70.655","0.66%"
"Sep 30, 2019","70.645","70.425","70.885","70.358","0.19%"
"Sep 27, 2019","70.509","70.951","70.980","70.364","-0.64%"
"Sep 26, 2019","70.964","71.035","71.036","70.837","-0.03%"
"Sep 25, 2019","70.988","70.976","71.154","70.947","0.02%"
"Sep 24, 2019","70.971","70.796","71.066","70.736","0.24%"
"Sep 23, 2019","70.799","71.023","71.053","70.779","-0.39%"
"Sep 20, 2019","71.075","71.205","71.205","70.685","-0.42%"
"Sep 19, 2019","71.375","71.345","71.385","71.050","0.32%"
"Sep 18, 2019","71.145","71.515","71.530","71.145","-0.48%"
"Sep 17, 2019","71.490","71.827","71.990","71.366","-0.13%"
"Sep 16, 2019","71.580","71.690","71.690","71.410","0.84%"
"Sep 13, 2019","70.985","70.972","71.160","70.847","0.03%"
"Sep 12, 2019","70.967","71.588","71.588","70.917","-0.85%"
"Sep 11, 2019","71.577","71.877","71.897","71.514","-0.41%"
"Sep 10, 2019","71.875","71.755","72.002","71.739","0.14%"
"Sep 09, 2019","71.778","71.728","71.787","71.504","0.19%"
"Sep 06, 2019","71.645","71.887","71.928","71.605","-0.39%"
"Sep 05, 2019","71.928","71.986","72.011","71.797","-0.08%"
"Sep 04, 2019","71.989","72.200","72.315","71.944","-0.25%"
"Sep 03, 2019","72.170","71.960","72.412","71.960","0.28%"
"Sep 02, 2019","71.969","71.467","72.003","71.467","0.72%"
"Aug 30, 2019","71.453","71.772","71.817","71.357","-0.33%"
"Aug 29, 2019","71.690","71.913","72.100","71.624","-0.19%"
"Aug 28, 2019","71.829","71.564","71.904","71.492","0.40%"
"Aug 27, 2019","71.543","72.030","72.030","71.383","-0.67%"
"Aug 26, 2019","72.025","71.920","72.260","71.863","0.72%"
"Aug 23, 2019","71.513","71.960","72.061","71.513","-0.58%"
"Aug 22, 2019","71.930","71.600","72.004","71.600","0.69%"
"Aug 21, 2019","71.439","71.562","71.623","71.353","-0.15%"
"Aug 20, 2019","71.549","71.523","71.827","71.523","0.14%"
"Aug 19, 2019","71.451","71.213","71.500","71.063","0.42%"
"Aug 16, 2019","71.155","71.365","71.492","71.045","-0.91%"
"Aug 15, 2019","71.810","71.507","71.829","71.309","0.75%"
"Aug 14, 2019","71.275","70.995","71.365","70.845","-0.20%"
"Aug 13, 2019","71.418","71.132","71.493","71.032","0.19%"
"Aug 12, 2019","71.283","71.014","71.367","70.993","0.51%"
"Aug 09, 2019","70.924","70.443","70.924","70.443","0.72%"
"Aug 08, 2019","70.420","71.170","71.170","70.420","-1.02%"
"Aug 07, 2019","71.145","70.965","71.195","70.604","0.15%"
"Aug 06, 2019","71.040","70.810","71.040","70.470","0.31%"
"Aug 05, 2019","70.821","70.117","70.839","70.117","1.61%"
"Aug 02, 2019","69.700","69.230","69.700","69.210","0.99%"
"Aug 01, 2019","69.017","69.267","69.267","69.002","0.21%"
"Jul 31, 2019","68.875","68.853","68.960","68.761","0.02%"
"Jul 30, 2019","68.862","68.766","68.903","68.663","0.16%"
"Jul 29, 2019","68.755","68.900","68.965","68.705","-0.18%"
"Jul 26, 2019","68.880","69.151","69.151","68.816","-0.23%"
"Jul 25, 2019","69.041","68.992","69.078","68.885","0.09%"
"Jul 24, 2019","68.980","69.020","69.109","68.921","-0.08%"
"Jul 23, 2019","69.033","68.944","69.059","68.903","0.15%"
"Jul 22, 2019","68.930","68.955","69.070","68.880","0.10%"
"Jul 19, 2019","68.860","68.810","68.955","68.722","0.01%"
"Jul 18, 2019","68.855","68.773","69.005","68.718","0.01%"
"Jul 17, 2019","68.846","68.688","68.904","68.640","0.29%"
"Jul 16, 2019","68.650","68.540","68.770","68.521","0.15%"
"Jul 15, 2019","68.545","68.535","68.615","68.477","-0.02%"
"Jul 12, 2019","68.560","68.460","68.695","68.433","0.22%"
"Jul 11, 2019","68.410","68.414","68.495","68.280","-0.01%"
"Jul 10, 2019","68.419","68.620","68.695","68.318","-0.21%"
"Jul 09, 2019","68.565","68.665","68.858","68.513","-0.00%"
"Jul 08, 2019","68.566","68.582","68.767","68.497","0.17%"
"Jul 05, 2019","68.450","68.539","68.785","68.385","-0.11%"
"Jul 04, 2019","68.527","68.817","68.914","68.489","-0.40%"
"Jul 03, 2019","68.800","68.885","68.963","68.795","-0.13%"
"Jul 02, 2019","68.890","68.924","69.075","68.870","0.01%"
"Jul 01, 2019","68.885","68.944","69.090","68.830","-0.09%"
"Jun 28, 2019","68.950","69.048","69.125","68.866","-0.20%"
"Jun 27, 2019","69.088","69.210","69.353","69.030","-0.23%"
"Jun 26, 2019","69.245","69.320","69.518","69.110","-0.13%"
"Jun 25, 2019","69.334","69.266","69.439","69.238","0.09%"
"Jun 24, 2019","69.273","69.629","69.630","69.264","-0.49%"
"Jun 21, 2019","69.615","69.755","69.760","69.504","0.14%"
"Jun 20, 2019","69.520","69.490","69.675","69.334","-0.19%"
"Jun 19, 2019","69.650","69.550","69.808","69.500","0.06%"
"Jun 18, 2019","69.610","69.868","69.891","69.609","-0.34%"
"Jun 17, 2019","69.850","69.810","69.982","69.740","0.02%"
"Jun 14, 2019","69.833","69.566","69.865","69.530","0.44%"
"Jun 13, 2019","69.530","69.379","69.580","69.314","0.22%"
"Jun 12, 2019","69.375","69.414","69.455","69.257","-0.01%"
"Jun 11, 2019","69.385","69.534","69.534","69.342","-0.22%"
"Jun 10, 2019","69.535","69.375","69.685","69.375","0.26%"
"Jun 07, 2019","69.355","69.146","69.551","69.114","0.27%"
"Jun 06, 2019","69.165","69.405","69.460","69.165","-0.32%"
"Jun 05, 2019","69.385","69.334","69.423","69.178","0.14%"
"Jun 04, 2019","69.291","69.068","69.343","69.033","0.17%"
"Jun 03, 2019","69.171","69.618","69.622","69.128","-0.59%"
"May 31, 2019","69.580","69.839","69.927","69.580","-0.35%"
"May 30, 2019","69.825","69.835","69.935","69.703","-0.03%"
"May 29, 2019","69.845","69.587","70.003","69.579","0.34%"
"May 28, 2019","69.610","69.516","69.755","69.516","0.15%"
"May 27, 2019","69.504","69.412","69.633","69.362","0.18%"
"May 24, 2019","69.380","69.699","69.811","69.377","-0.41%"
"May 23, 2019","69.665","69.666","70.065","69.375","0.02%"
"May 22, 2019","69.650","69.668","69.811","69.614","0.01%"
"May 21, 2019","69.645","69.817","69.825","69.620","0.05%"
"May 20, 2019","69.609","69.405","69.778","69.373","-0.95%"
"May 17, 2019","70.280","70.220","70.288","70.067","0.21%"
"May 16, 2019","70.130","70.219","70.342","69.966","-0.17%"
"May 15, 2019","70.249","70.322","70.442","70.174","-0.12%"
"May 14, 2019","70.332","70.596","70.616","70.252","-0.34%"
"May 13, 2019","70.570","70.015","70.651","69.984","0.79%"
"May 10, 2019","70.015","70.091","70.114","69.756","-0.26%"
"May 09, 2019","70.200","69.719","70.276","69.719","0.69%"
"May 08, 2019","69.720","69.596","69.751","69.448","0.11%"
"May 07, 2019","69.645","69.421","69.646","69.285","0.38%"
"May 06, 2019","69.380","69.310","69.485","69.310","0.41%"
"May 03, 2019","69.095","69.436","69.441","69.095","-0.45%"
"May 02, 2019","69.410","69.620","69.634","69.320","-0.19%"
"May 01, 2019","69.545","69.601","69.603","69.466","-0.15%"
"Apr 30, 2019","69.647","69.831","69.913","69.536","-0.24%"
"Apr 29, 2019","69.817","69.879","69.895","69.797","-0.05%"
"Apr 26, 2019","69.850","70.173","70.247","69.810","-0.46%"
"Apr 25, 2019","70.170","70.010","70.335","69.920","0.30%"
"Apr 24, 2019","69.960","69.779","70.000","69.762","0.27%"
"Apr 23, 2019","69.770","69.630","69.840","69.540","0.10%"
"Apr 22, 2019","69.700","69.366","69.906","69.366","0.42%"
"Apr 19, 2019","69.407","69.416","69.429","69.355","0.02%"
"Apr 18, 2019","69.395","69.417","69.619","69.330","-0.05%"
"Apr 17, 2019","69.431","69.547","69.570","69.362","-0.14%"
"Apr 16, 2019","69.530","69.422","69.690","69.422","0.19%"
"Apr 15, 2019","69.395","69.174","69.483","69.045","0.30%"
"Apr 12, 2019","69.190","69.030","69.390","69.030","0.25%"
"Apr 11, 2019","69.020","69.164","69.222","68.837","-0.19%"
"Apr 10, 2019","69.150","69.258","69.366","69.090","-0.19%"
