"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","6,474.00","6,473.00","6,490.00","6,473.00","-0.13%"
"Oct 23, 2019","6,482.22","6,456.05","6,482.35","6,434.80","0.36%"
"Oct 22, 2019","6,459.14","6,422.89","6,470.04","6,412.29","0.17%"
"Oct 21, 2019","6,448.00","6,466.00","6,485.83","6,439.00","-0.22%"
"Oct 18, 2019","6,462.50","6,471.50","6,490.75","6,439.50","-0.18%"
"Oct 17, 2019","6,474.00","6,482.48","6,503.09","6,474.00","0.08%"
"Oct 16, 2019","6,468.72","6,419.23","6,468.72","6,386.10","0.34%"
"Oct 15, 2019","6,447.00","6,439.06","6,454.46","6,418.00","0.50%"
"Oct 14, 2019","6,414.84","6,412.08","6,414.84","6,387.42","0.04%"
"Oct 11, 2019","6,412.50","6,422.50","6,442.16","6,378.80","0.05%"
"Oct 10, 2019","6,409.00","6,409.00","6,431.84","6,372.82","0.05%"
"Oct 09, 2019","6,405.50","6,393.50","6,424.48","6,384.91","0.18%"
"Oct 08, 2019","6,394.00","6,391.00","6,414.77","6,366.00","-0.03%"
"Oct 07, 2019","6,396.00","6,372.00","6,415.14","6,366.37","-0.08%"
"Oct 04, 2019","6,401.00","6,404.00","6,427.94","6,401.00","0.16%"
"Oct 03, 2019","6,391.00","6,414.94","6,414.94","6,377.00","-0.23%"
"Oct 02, 2019","6,405.53","6,303.60","6,405.53","6,303.60","0.11%"
"Oct 01, 2019","6,398.73","6,379.07","6,399.61","6,349.44","0.29%"
"Sep 30, 2019","6,380.12","6,383.19","6,383.19","6,353.56","-0.11%"
"Sep 27, 2019","6,387.10","6,389.53","6,395.06","6,360.66","0.03%"
"Sep 26, 2019","6,385.50","6,412.69","6,412.69","6,319.50","-0.03%"
"Sep 25, 2019","6,387.50","6,382.26","6,410.11","6,354.28","0.28%"
"Sep 24, 2019","6,369.47","6,367.71","6,387.08","6,315.71","-0.20%"
"Sep 23, 2019","6,382.50","6,375.50","6,409.32","6,366.65","-0.10%"
"Sep 20, 2019","6,389.00","6,391.00","6,427.95","6,386.00","0.14%"
"Sep 19, 2019","6,380.00","6,354.00","6,399.37","6,354.00","0.23%"
"Sep 18, 2019","6,365.50","6,360.50","6,386.07","6,335.24","0.33%"
"Sep 17, 2019","6,344.50","6,343.32","6,364.27","6,285.03","0.08%"
"Sep 16, 2019","6,339.66","6,331.84","6,351.27","6,294.48","0.05%"
"Sep 13, 2019","6,336.50","6,314.50","6,355.93","6,314.50","0.09%"
"Sep 12, 2019","6,331.00","6,341.00","6,360.30","6,309.29","-0.28%"
"Sep 11, 2019","6,348.50","6,318.50","6,366.14","6,301.55","0.57%"
"Sep 10, 2019","6,312.50","6,299.50","6,338.36","6,281.74","0.23%"
"Sep 09, 2019","6,298.00","6,257.00","6,316.57","6,257.00","0.30%"
"Sep 06, 2019","6,278.86","6,259.40","6,279.20","6,244.19","0.66%"
"Sep 05, 2019","6,237.50","6,222.50","6,276.57","6,222.50","-0.17%"
"Sep 04, 2019","6,248.00","6,299.00","6,318.23","6,248.00","-0.61%"
"Sep 03, 2019","6,286.09","6,111.85","6,286.09","6,111.85","0.46%"
"Sep 02, 2019","6,257.36","6,259.76","6,260.27","6,236.81","0.09%"
"Aug 30, 2019","6,251.91","6,241.16","6,254.19","6,241.16","-0.23%"
"Aug 29, 2019","6,266.01","6,107.95","6,266.01","6,107.95","0.77%"
"Aug 28, 2019","6,217.94","6,217.94","6,217.94","6,217.94","-0.05%"
"Aug 27, 2019","6,221.10","6,221.10","6,221.10","6,221.10","0.24%"
"Aug 26, 2019","6,206.47","6,245.00","6,245.00","6,185.52","-0.16%"
"Aug 23, 2019","6,216.24","6,078.02","6,216.31","6,078.02","0.54%"
"Aug 22, 2019","6,182.91","6,077.89","6,182.91","6,077.89","0.47%"
"Aug 21, 2019","6,154.17","6,076.03","6,154.38","6,076.03","0.21%"
"Aug 20, 2019","6,141.23","6,114.27","6,141.23","6,079.55","0.26%"
"Aug 19, 2019","6,125.50","6,091.50","6,141.82","6,082.21","0.11%"
