"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","37.3750","37.4050","37.4050","37.3550","-0.08%"
"Oct 23, 2019","37.4050","37.3850","37.4050","37.3050","-0.01%"
"Oct 22, 2019","37.4100","37.3600","37.4100","37.3600","0.09%"
"Oct 21, 2019","37.3750","37.3450","37.3850","37.3250","0.08%"
"Oct 18, 2019","37.3450","37.3350","37.3550","37.3150","0.03%"
"Oct 17, 2019","37.3350","37.3250","37.3550","37.3250","0.03%"
"Oct 16, 2019","37.3250","37.2150","37.3450","37.2050","0.30%"
"Oct 15, 2019","37.2150","37.1450","37.3450","37.1350","0.19%"
"Oct 14, 2019","37.1450","37.1950","37.2350","37.1450","-0.13%"
"Oct 11, 2019","37.1950","37.2150","37.2150","37.1750","-0.05%"
"Oct 10, 2019","37.2150","37.2250","37.2250","37.1050","-0.03%"
"Oct 09, 2019","37.2250","37.2350","37.2350","37.2250","0.00%"
"Oct 08, 2019","37.2250","37.1350","37.2250","37.1050","0.19%"
"Oct 07, 2019","37.1550","37.1650","37.2450","37.1150","-0.03%"
"Oct 04, 2019","37.1650","37.1850","37.1850","37.1350","-0.05%"
"Oct 03, 2019","37.1850","37.0250","37.1950","37.0150","0.43%"
"Oct 02, 2019","37.0250","36.9550","37.2250","36.9450","-0.27%"
"Oct 01, 2019","37.1250","36.8650","37.1250","36.8550","0.71%"
"Sep 30, 2019","36.8650","36.8150","36.9950","36.7950","0.14%"
"Sep 27, 2019","36.8150","36.8850","36.8850","36.8150","-0.19%"
"Sep 26, 2019","36.8850","36.8650","36.8950","36.7950","0.22%"
"Sep 25, 2019","36.8050","36.7750","36.8050","36.7750","0.08%"
"Sep 24, 2019","36.7750","36.7750","36.7950","36.7650","0.00%"
"Sep 23, 2019","36.7750","36.7750","36.7850","36.7450","0.12%"
"Sep 20, 2019","36.7300","36.7300","36.8100","36.7000","-0.04%"
"Sep 19, 2019","36.7450","36.7550","36.7550","36.7150","-0.03%"
"Sep 18, 2019","36.7550","36.6350","36.7650","36.6250","0.33%"
"Sep 17, 2019","36.6350","36.4650","36.7550","36.4450","0.47%"
"Sep 16, 2019","36.4650","36.4650","36.6750","36.4650","0.00%"
"Sep 13, 2019","36.4650","36.5550","36.5550","36.4250","-0.25%"
"Sep 12, 2019","36.5550","36.6050","36.6050","36.5550","-0.14%"
"Sep 11, 2019","36.6050","36.4950","36.6050","36.4850","0.30%"
"Sep 10, 2019","36.4950","36.4350","36.4950","36.4350","0.16%"
"Sep 09, 2019","36.4350","36.6050","36.6050","36.4350","-0.46%"
"Sep 06, 2019","36.6050","36.6650","36.6650","36.6050","-0.16%"
"Sep 05, 2019","36.6650","36.7150","36.7150","36.5350","-0.14%"
"Sep 04, 2019","36.7150","36.7250","36.8150","36.6850","-0.27%"
"Sep 03, 2019","36.8150","36.6250","36.8150","36.6250","0.52%"
"Sep 02, 2019","36.6250","36.6250","36.6650","36.6250","-0.07%"
"Aug 30, 2019","36.6500","36.6200","36.6500","36.6000","0.04%"
"Aug 29, 2019","36.6350","36.5050","36.6350","36.4650","0.36%"
"Aug 28, 2019","36.5050","36.5150","36.5150","36.4950","-0.03%"
"Aug 27, 2019","36.5150","36.4850","36.5550","36.4750","0.08%"
"Aug 26, 2019","36.4850","36.3350","36.5150","36.3250","0.41%"
"Aug 23, 2019","36.3350","36.5150","36.5150","36.3350","-0.49%"
"Aug 22, 2019","36.5150","36.6150","36.6150","36.3450","0.05%"
"Aug 21, 2019","36.4950","36.3450","36.6050","36.3350","0.80%"
"Aug 20, 2019","36.2050","36.2050","36.3550","36.1950","0.00%"
"Aug 19, 2019","36.2050","36.2050","36.5250","36.1950","0.00%"
"Aug 16, 2019","36.2050","36.2050","36.2250","36.2050","0.00%"
"Aug 15, 2019","36.2050","35.8850","36.2050","35.8750","0.86%"
"Aug 14, 2019","35.8950","35.9050","36.2050","35.8750","-0.03%"
"Aug 13, 2019","35.9050","35.3550","35.9150","35.3550","1.56%"
"Aug 12, 2019","35.3550","35.2850","35.3550","35.2750","0.20%"
"Aug 09, 2019","35.2850","35.3050","35.4050","35.2750","-0.06%"
"Aug 08, 2019","35.3050","35.1650","35.3150","35.1450","-0.06%"
"Aug 07, 2019","35.3250","35.1550","35.3250","35.1450","0.48%"
"Aug 06, 2019","35.1550","34.7650","35.2250","34.7650","1.12%"
"Aug 05, 2019","34.7650","34.5950","35.0750","34.5750","0.49%"
"Aug 02, 2019","34.5950","34.3550","34.7050","34.3350","0.70%"
"Aug 01, 2019","34.3550","34.3350","34.6150","34.3350","0.06%"
"Jul 31, 2019","34.3350","34.2050","34.4250","34.1750","0.12%"
"Jul 30, 2019","34.2950","34.1650","34.2950","34.1350","0.20%"
"Jul 29, 2019","34.2250","34.1450","34.2250","34.1250","0.23%"
