words,count
great,2391.0
President,1263.0
people,1182.0
We,1096.0
Trump,1018.0
China,987.0
Country,882.0
News,860.0
Democrats,855.0
I,835.0
Thank,818.0
big,767.0
realDonaldTrump,757.0
Fake,750.0
many,706.0
new,697.0
Border,689.0
America,682.0
would,671.0
It,671.0
get,667.0
They,658.0
U.S.,635.0
today,626.0
time,585.0
much,574.0
never,568.0
He,566.0
years,546.0
American,527.0
Media,526.0
good,518.0
want,517.0
United,504.0
one,500.0
This,498.0
make,494.0
us,477.0
back,474.0
States,474.0
even,465.0
must,460.0
No,447.0
's,442.0
jobs,417.0
done,417.0
going,408.0
like,401.0
State,397.0
Trade,397.0
House,397.0
vote,386.0
job,386.0
bad,369.0
election,366.0
Military,362.0
deal,360.0
made,357.0
first,353.0
Dems,350.0
Obama,338.0
Wall,336.0
ever,332.0
day,331.0
Our,329.0
win,328.0
Security,327.0
crime,327.0
way,325.0
Russia,324.0
WhiteHouse,321.0
world,320.0
see,319.0
North,318.0
working,318.0
Collusion,313.0
nothing,311.0
So,308.0
strong,299.0
said,299.0
FBI,298.0
If,294.0
go,294.0
economy,294.0
year,293.0
Tax,293.0
Witch,288.0
also,288.0
Just,288.0
hard,286.0
Hunt,284.0
last,283.0
history,280.0
Hillary,278.0
really,277.0
work,276.0
Mueller,276.0
You,274.0
look,271.0
Congress,271.0
Republicans,271.0
far,270.0
In,270.0
two,268.0
Republican,267.0
FoxNews,262.0
n't,260.0
better,259.0
honor,258.0
know,256.0
National,251.0
need,250.0
total,249.0
well,249.0
campaign,248.0
long,245.0
Report,243.0
Will,240.0
Clinton,240.0
Mexico,240.0
Dollars,240.0
foxandfriends,239.0
Administration,237.0
meeting,236.0
Korea,235.0
Now,232.0
Congratulations,231.0
illegal,231.0
right,230.0
help,229.0
AGAIN,228.0
Democrat,228.0
looking,227.0
getting,226.0
best,223.0
take,222.0
Senate,221.0
things,220.0
White,219.0
coming,218.0
money,216.0
Tariffs,215.0
got,214.0
together,212.0
let,209.0
countries,208.0
There,208.0
A,207.0
immigration,207.0
Party,207.0
could,206.0
forward,205.0
come,204.0
MAGA,202.0
always,201.0
law,198.0
stop,198.0
support,198.0
totally,198.0
others,197.0
USA,194.0
watch,192.0
since,189.0
making,188.0
Very,188.0
Bill,186.0
record,185.0
Not,183.0
tonight,182.0
end,182.0
keep,182.0
wonderful,181.0
Happy,181.0
love,180.0
including,179.0
Governor,179.0
CNN,178.0
story,178.0
another,178.0
Americans,177.0
Crooked,176.0
Farmers,174.0
soon,173.0
Comey,172.0
All,172.0
THE,171.0
high,171.0
important,170.0
Billion,169.0
night,169.0
fact,168.0
every,167.0
John,166.0
Florida,166.0
Nation,166.0
Washington,165.0
Justice,165.0
left,162.0
women,162.0
Why,162.0
say,160.0
companies,160.0
full,157.0
Court,157.0
think,157.0
everyone,156.0
massive,156.0
put,156.0
http,155.0
real,155.0
My,154.0
numbers,154.0
Borders,153.0
Times,151.0
York,150.0
Southern,150.0
give,150.0
incredible,150.0
call,148.0
Cuts,148.0
government,147.0
Senator,146.0
Donald,145.0
General,145.0
wrong,143.0
book,142.0
true,141.0
already,140.0
That,139.0
When,139.0
continue,138.0
Russian,137.0
may,137.0
Market,136.0
Iran,136.0
Carolina,135.0
yesterday,135.0
Endorsement,133.0
Open,133.0
political,133.0
order,133.0
business,133.0
place,133.0
Prime,133.0
As,132.0
believe,131.0
office,131.0
tomorrow,130.0
For,130.0
trying,129.0
What,128.0
Minister,128.0
Do,127.0
show,127.0
economic,127.0
tremendous,127.0
corrupt,126.0
terrible,126.0
To,125.0
leaders,124.0
thing,124.0
beautiful,124.0
despite,123.0
lost,123.0
happen,123.0
Presidential,123.0
Federal,123.0
phony,123.0
workers,122.0
But,121.0
taxes,121.0
On,121.0
Join,121.0
Pelosi,119.0
man,119.0
low,119.0
family,119.0
POTUS,119.0
fight,118.0
Vets,118.0
unemployment,118.0
almost,117.0
And,116.0
pay,116.0
tough,116.0
Special,116.0
Hurricane,116.0
protect,115.0
major,115.0
healthcare,115.0
next,115.0
FLOTUS,115.0
proud,115.0
With,114.0
taking,113.0
start,113.0
called,113.0
problem,113.0
without,113.0
act,113.0
remember,113.0
badly,113.0
wants,113.0
Secretary,112.0
future,112.0
paid,112.0
South,112.0
Joe,112.0
loves,111.0
greatest,111.0
truly,110.0
Obstruction,110.0
God,110.0
Nancy,110.0
stand,110.0
along,110.0
little,109.0
James,109.0
run,108.0
anything,108.0
Billions,108.0
Wow,107.0
families,107.0
2016,107.0
laws,107.0
welcome,107.0
case,107.0
investigation,106.0
home,105.0
safe,105.0
Texas,105.0
change,104.0
took,104.0
complete,104.0
After,104.0
live,104.0
running,104.0
highly,104.0
something,104.0
Schiff,104.0
Stock,103.0
yet,103.0
around,103.0
Biden,102.0
ObamaCare,101.0
told,101.0
hit,101.0
men,101.0
enforcement,101.0
seen,101.0
fantastic,101.0
highest,101.0
ratings,100.0
talk,100.0
She,100.0
Radical,100.0
fighting,99.0
California,99.0
statement,99.0
large,99.0
Hoax,99.0
morning,98.0
information,98.0
use,98.0
fast,98.0
Failing,97.0
rally,97.0
Angry,96.0
2020,96.0
level,96.0
million,96.0
team,95.0
Is,95.0
leaving,95.0
biggest,95.0
given,95.0
Congressman,94.0
days,94.0
safety,93.0
week,93.0
ready,93.0
allowed,93.0
ago,93.0
actually,92.0
Supreme,92.0
finally,92.0
approval,91.0
lives,91.0
used,91.0
become,91.0
talking,91.0
impeachment,91.0
bring,91.0
Cut,91.0
Kim,90.0
close,90.0
care,90.0
Ohio,90.0
sad,90.0
Thanks,90.0
Heading,90.0
based,89.0
ISIS,89.0
still,89.0
hope,89.0
spoke,89.0
stories,89.0
rate,89.0
Don,89.0
Second,88.0
system,88.0
weak,88.0
War,88.0
