Date,Close,Likes,Retweets,percent,None,D0,D1,D2,D3,D4,average_sum,SP500Close,SoyBeanPrice,CottonPrice
9/3/2019,915.5,954113,239660,0,535382.23,71072.11,16143.71,0,0,0,0.115157142,2906.27002,8.685,0.5831
9/4/2019,922,1025304,288239,0,563241.8159,61564.99429,18966.63768,0,0,0,0.116092131,2937.780029,8.755,0.5877
9/5/2019,909.5,1161053,315354,0,555639.8028,64939.42341,18162.89011,0,0,0,0.116043143,2976,8.615,0.5916
9/6/2019,907.75,1300492,314652,0,533473.5819,65853.99837,19730.52923,0,0,0,0.116562342,2978.709961,8.5775,0.5873
9/9/2019,908.5,1563471,408538,0,546613.4225,61494.31211,18257.24762,0,0,0,0.11656526,2978.429932,8.5775,0.5912
9/10/2019,920.75,707717,280982,0,540737.75,62755.52,19104.79,0,0,0,0.116717253,2979.389893,8.72,0.595
9/11/2019,916.25,1607543,446136,0,560362.451,66320.31955,17081.83126,1360.449156,0,0,0.116391263,3000.929932,8.665,0.5937
9/12/2019,941.25,963644,339280,0,562700.84,63061.63336,17085.22692,1299.464499,0,0,0.116311619,3009.570068,8.955,0.6225
9/13/2019,943,707282,264274,0,552101.9311,63757.10406,17535.16671,1354.592463,0,0,0.115721187,3007.389893,8.9875,0.6163
9/16/2019,945.5,1544266,401890,0,528314.5491,67304.0518,17376.54734,1289.514758,0,0,0.116100472,2997.959961,9,0.6159
9/17/2019,939.75,609263,174773,0,538134.63,65977.45,17179.89,1306.08,0,0,0.116024983,3005.699951,8.9375,0.6012
9/18/2019,936,1063264,480664,0,534973.6627,87933.79987,16532.62101,2360.604069,0,0,0.115686661,3006.72998,8.8875,0.5936
9/19/2019,937.5,668040,145252,0,523675.7499,87186.41626,17357.31907,2383.798276,0,0,0.115827344,3006.790039,8.93,0.5899
9/20/2019,928.75,637862,219799,0,518377.3304,82395.42564,16771.45171,2262.481121,0,0,0.115855473,2992.070068,8.8275,0.5913
9/23/2019,935,888346,236541,0,526479.4082,82236.60926,16033.16619,2371.713241,0,0,0.115802069,2991.780029,8.925,0.5983
9/24/2019,936.5,1616262,435188,0,519497.71,84051.3,16700.02,2349.03,0,0,0.11596511,2966.600098,8.9425,0.5932
9/25/2019,933.5,1497030,580079,0,521403.2761,79371.55935,22948.18964,4964.524352,0,0,0.115750201,2984.870117,8.8925,0.5959
9/26/2019,934.25,1323001,743285,0,540954.3546,78413.03303,24073.38546,4653.281184,0,0,0.115729957,2977.620117,8.885,0.5963
9/27/2019,929.5,1739945,503101,0,506636.8509,75594.07959,22423.40872,5084.925009,0,0,0.115934239,2961.790039,8.83,0.6047
9/30/2019,947,2488981,763542,0,505881.6821,74566.37927,23109.76871,5041.794503,0,0,0.115940016,2976.73999,9.06,0.6061
10/1/2019,956.5,1564561,626325,0.090909091,515983.12,78414.28,23329.59,4871.07,0,0,0.116093915,2940.25,9.195,0.6098
10/2/2019,956.5,2082907,609651,0,523452.619,63146.5887,31066.85564,1348.271253,0,0,0.115305951,2887.610107,9.1375,0.6133
10/3/2019,954.75,1633009,703766,0,524692.7512,60939.71783,29707.26356,1330.972738,0,0,0.115224069,2910.629883,9.1175,0.616
10/4/2019,958.25,2288166,700715,0,534546.7948,59750.68684,30396.68611,1378.308286,0,0,0.115404536,2952.01001,9.1625,0.6167
10/7/2019,959,1436079,420669,0,544478.7701,60387.15279,30981.81694,1336.371657,0,0,0.115428467,2938.790039,9.1525,0.6183
10/8/2019,965.5,1405225,710582,0,530536.33,60581.56,30140.4,1339.74,0,0,0.115311181,2893.060059,9.205,0.6132
10/9/2019,968.75,2170894,706862,0,510411.5086,54240.36701,33666.04091,1981.142435,0,0,0.11526666,2919.399902,9.2375,0.6209
10/10/2019,968.5,1440030,401252,0,518688.7619,51219.97672,32484.21983,2054.273985,0,0,0.115597748,2938.129883,9.235,0.6142
10/11/2019,976.75,1074720,464914,0,542680.8489,53586.40759,31309.16738,1971.049188,0,0,0.116367446,2970.27002,9.36,0.6388
10/14/2019,980.5,2118226,588675,0,511868.233,52057.52114,33677.90772,1908.427519,0,0,0.116104519,2966.149902,9.405,0.6222
10/15/2019,976.25,1082915,297323,0,535479.22,52963.2,32193.5,1962.12,0,0,0.116320171,2995.679932,9.34,0.6353
10/16/2019,972.25,1793037,566807,0,564949.478,45613.58169,21820.92506,1228.616652,0,0,0.116290336,2989.689941,9.28,0.6454
10/17/2019,973.5,1778411,789785,0,559677.6498,46810.14962,22178.98477,1352.334048,0,0,0.116830322,2997.949951,9.315,0.6499
10/18/2019,976,1328757,372697,0,578317.6921,48844.82548,21389.34273,1318.85198,0,0,0.116939224,2986.199951,9.34,0.6516
10/21/2019,975.5,650420,252047,0,567053.6956,49281.87284,22507.42623,1323.359325,0,0,0.117250515,3006.719971,9.3325,0.6456
10/22/2019,976.75,1031805,506389,0,552388.48,47064.74,21851.64,1293.19,0,0,0.117226529,2995.98999,9.34,0.6467
10/23/2019,976.5,1322365,613610,0,567876.8986,34337.79552,14411.35727,0,0,0,0.117457685,3004.52002,9.3375,0.6495
10/24/2019,976.75,569953,219769,0,573379.0903,32924.20262,13492.51993,0,0,0,0.117418087,3010.290039,9.3325,0.6465
10/25/2019,967,1336572,540094,0,565010.2738,35536.9815,14430.18695,0,0,0,0.117547794,3022.550049,9.2025,0.649
10/28/2019,969,1043364,416736,0,556226.1249,33995.43518,14243.98189,0,0,0,0.117611766,3039.419922,9.237,0.6479
10/29/2019,968.25,1515647,649510,0,574567.34,33922.83,14107.86,0,0,0,0.117327046,3036.889893,9.2435,0.6472
10/30/2019,965.25,1573147,624066,0,592908.5551,33850.22482,13971.73811,0,0,0,0.116777269,3046.77002,9.247,0.657
10/31/2019,967.25,1267606,583610,0,611249.7702,33777.61964,13835.61622,0,0,0,0.116758674,3037.560059,9.2915,0.6444
11/1/2019,970.75,1943978,575532,0,629590.9853,33705.01446,13699.49433,0,0,0,0.116977936,3066.909912,9.25,0.65
