Date,Close,Likes,Retweets,percent,None,D0,D1,D2,D3,D4,average_sum,SP500Close,SoyBeanPrice,CottonPrice
2016-11-14,947.0,0,0,0.0,394212.1571,128405.2622,78341.65476,8442.330617,575.1769426,0.0,0.13708331599999998,2164.199951,9.8425,0.6890000000000001
2016-11-15,945.5,307302,88748,0.018181818,405647.26,126862.99,80946.66,8538.74,602.4,0.0,0.138002645,2180.389893,9.895,0.7069
2016-11-16,946.0,476359,129277,0.0,340811.80700000003,169833.3039,62498.96125,38253.977530000004,843.8003451999999,0.0,0.138027371,2176.939941,9.8575,0.7213
2016-11-17,951.75,96513,21195,0.0,366028.2145,170618.7184,59970.7732,39739.12718,855.6798447999998,0.0,0.137325543,2187.1201170000004,9.895,0.7338
2016-11-18,944.75,406210,112886,0.0,345566.9369,166213.3541,61339.80197000001,39362.17196,878.1447971000001,0.0,0.137527318,2181.899902,9.9375,0.7340000000000001
2016-11-21,956.5,102370,41867,0.125,340240.1182,181148.2864,62479.49144,38016.76364,872.4152611999999,0.0,0.13828908,2198.179932,10.2025,0.736
2016-11-22,958.5,628246,150630,0.107142857,348793.35,173412.92,60111.97,39405.52,874.28,0.0,0.138069826,2202.939941,10.3,0.7372
2016-11-23,956.0,132520,27657,0.038461537999999997,339673.5644,195987.0004,65264.17114,28301.53715,260.36559730000005,0.0,0.137552688,2204.719971,10.3425,0.7308
2016-11-25,962.5,0,0,0.0,351031.7992,182714.61899999998,69650.71284,29895.4656,246.489419,0.0,0.137167781,2213.350098,10.46,0.7237
2016-11-28,967.25,255314,69557,0.0,326506.5182,184622.1441,63931.849460000005,29492.9104,260.95518050000004,0.0,0.138264086,2201.719971,10.56,0.7277
2016-11-29,961.5,763929,218634,0.022727273,338258.46,188571.38,66507.78,29001.67,258.76,0.0,0.138080855,2204.659912,10.425,0.7173
2016-11-30,956.5,589842,156823,0.0,350116.4556,176548.572,85469.09958,9710.198836,0.0,0.0,0.138073689,2198.810059,10.3225,0.7176
2016-12-01,957.25,221826,40107,0.0,336998.9284,191854.5329,86778.19922000001,9854.406640000001,0.0,0.0,0.13908737599999998,2191.080078,10.2975,0.7090000000000001
2016-12-02,958.75,72196,17283,0.023809524,341159.4616,176903.0261,84844.77199,9839.407615,0.0,0.0,0.139271529,2191.949951,10.275,0.7104
2016-12-05,963.25,275414,74014,0.0,347816.3728,181742.6421,82111.34313,10087.017020000001,0.0,0.0,0.139569676,2204.709961,10.435,0.7101
2016-12-06,963.0,376113,105548,0.0,343109.15,184302.86,84970.45,10215.6,0.0,0.0,0.139503515,2212.22998,10.4775,0.7133
2016-12-07,966.5,172919,37870,0.0,367711.5338,173051.2964,88704.31753,9265.668119,0.0,0.0,0.13993381400000002,2241.350098,10.49,0.7105
2016-12-08,958.0,244994,57000,0.0,350451.5646,166539.7179,83257.48681,9359.859817,0.0,0.0,0.140314881,2246.189941,10.27,0.7142
2016-12-09,973.25,100190,23799,0.0,352962.6553,179193.7842,82745.41854,9745.880929,0.0,0.0,0.140384628,2259.530029,10.375,0.708
2016-12-12,969.25,460465,129075,0.0,344744.8105,177132.4343,85808.20158,8966.809161,0.0,0.0,0.140865525,2256.959961,10.31,0.7169
2016-12-13,967.5,446182,111168,0.0,357078.98,171571.67,84600.3,9347.09,0.0,0.0,0.140901259,2271.719971,10.28,0.7204
2016-12-14,965.0,100618,27437,0.0,345609.0585,179542.8693,78878.06668999999,10550.09337,0.0,0.0,0.139463788,2253.280029,10.2375,0.7147
2016-12-15,967.25,301584,79646,0.0,357767.749,168009.8439,78352.71284,10692.94015,0.0,0.0,0.13888531699999998,2262.030029,10.29,0.7167
2016-12-16,968.25,245957,67582,0.0,359918.4329,173635.6988,81679.10302000001,10579.490109999999,0.0,0.0,0.138842665,2258.070068,10.3675,0.7104
2016-12-19,963.25,337636,98635,0.0,344236.6444,177574.3028,80431.08194,10729.91848,0.0,0.0,0.138233623,2262.530029,10.215,0.6957
2016-12-20,957.5,313978,78405,0.0,355539.79,175311.34,81486.28,10260.62,0.0,0.0,0.13859564300000002,2270.76001,10.0525,0.6934
2016-12-21,961.0,205662,48458,0.0,413302.7514,167922.0614,46935.98197,8969.099231,0.0,0.0,0.138251365,2265.179932,10.0675,0.7013
2016-12-22,952.0,311452,79157,0.0,391902.8444,157540.9717,47674.34756,8759.722242,0.0,0.0,0.13765793099999998,2260.959961,9.945,0.7020000000000001
2016-12-23,948.75,455676,132165,0.076923077,394289.3779,165370.0459,50594.38258,9013.685647,0.0,0.0,0.137233056,2263.790039,9.89,0.6987
2016-12-27,962.0,238951,55892,0.0,402038.24,162619.35,49206.99,8733.48,0.0,0.0,0.136873067,2268.8798829999996,10.1665,0.6974
2016-12-28,956.25,472614,129656,0.037037037,412906.7247,147769.8351,64832.58678,8160.971386,1040.356113,0.0,0.136950134,2249.919922,10.1065,0.6975
2016-12-29,954.0,45609,11330,0.038461537999999997,392434.0145,142244.6007,66363.19726,8272.672573,1047.860981,0.0,0.137488641,2249.26001,10.0895,0.705
2016-12-30,950.0,207259,64994,0.0,403890.0414,148850.0605,62023.99148,8158.602086,1084.923596,0.0,0.138127992,2238.830078,10.025,0.7065
2017-01-03,946.25,572427,144006,0.057142857000000005,406158.24,143025.92,64408.95,7929.75,1075.2,0.0,0.131461458,2257.830078,9.95,0.7178
2017-01-04,958.25,585129,149930,0.08064516099999999,405001.2113,117917.1706,86412.51851000001,8549.306664,1071.090637,0.0,0.13265971099999999,2270.75,10.1525,0.7408
2017-01-05,955.75,421006,105763,0.083333333,416789.9601,116997.1815,89949.51759,8676.983972,1079.89021,0.0,0.1334269,2269.0,10.125,0.7378
2017-01-06,946.0,725071,185275,0.133333333,393215.2861,115509.257,91870.88973,8608.001390000001,1063.403895,0.0,0.133261632,2276.97998,9.9475,0.7399
2017-01-09,951.0,726207,172996,0.0,408461.644,114358.5091,85813.02442,8225.618202,1088.588673,0.0,0.133429897,2268.899902,10.0525,0.7299
2017-01-10,956.25,228134,56680,0.131578947,411862.1,113431.63,87725.53,8503.58,1075.2,0.0,0.13331316599999998,2268.899902,10.1375,0.7319
2017-01-11,953.0,514637,156971,0.0,418309.5014,115400.9141,76404.5442,7010.520348,1071.176826,0.0,0.13376553800000002,2275.320068,10.115,0.7314
2017-01-12,962.0,547614,130610,0.06122449,425865.81,110012.5792,73327.85591,7482.992909999999,1106.0436619999998,0.0,0.134148842,2270.439941,10.4025,0.7234
2017-01-13,956.0,626433,136100,0.0,438856.7077,117134.0256,73222.05636,7370.510023000001,1049.58612,0.0,0.134390302,2274.639893,10.4625,0.7227
2017-01-17,958.25,786500,182213,0.071428571,425810.73,115012.6,73461.32,7238.2,1075.2,0.0,0.135109205,2267.889893,10.6925,0.7211
2017-01-18,964.5,568009,103508,0.0,423626.3166,104740.8079,63987.72697,10662.1492,1094.329647,0.0,0.133077101,2271.889893,10.75,0.7226
2017-01-19,963.75,769993,148230,0.0,446892.3963,103579.3132,63046.469370000006,10542.969009999999,1096.937606,0.0,0.132631171,2263.689941,10.7025,0.7269
2017-01-20,967.5,1867501,417567,0.10810810800000001,447348.209,105176.9933,62012.83617,9740.925093,1100.464574,0.0,0.1326203,2271.310059,10.675,0.7304
2017-01-23,965.0,177839,26750,0.10526315800000001,435967.405,108048.8258,65034.512189999994,10427.92567,1080.667694,0.0,0.13340674,2265.199951,10.5775,0.7463
2017-01-24,965.75,495813,86707,0.0,443361.88,104927.15,63035.12,10198.71,1075.2,0.0,0.134084548,2280.070068,10.585,0.7357
2017-01-25,964.75,1112361,240014,0.166666667,454133.3646,127390.0094,45655.16108,5772.20126,1123.325818,0.0,0.13483729,2298.3701170000004,10.5525,0.7388
2017-01-26,965.25,970602,194173,0.0,448517.6577,116660.45,41786.88044,5341.0156719999995,1050.678697,0.0,0.134658755,2296.679932,10.495,0.7419
2017-01-27,966.0,841537,168114,0.0,440851.9967,122500.4541,41634.8509,5837.522655,1110.328575,0.0,0.134130354,2294.689941,10.4925,0.7485
2017-01-30,953.0,1077062,217651,0.28571428600000004,469917.0994,120048.2677,41995.730410000004,5638.466168,1026.103003,0.0,0.13447068199999998,2280.899902,10.2275,0.7414
2017-01-31,950.5,459100,97752,0.0,450386.19,121775.24,43793.39,5568.06,1075.2,0.0,0.135242803,2278.8701170000004,10.245,0.7494
2017-02-01,961.0,659762,117869,0.133333333,430620.5547,115333.9404,41754.14166,6699.419347,1111.172847,0.0,0.135097893,2279.550049,10.3675,0.7644
2017-02-02,965.5,1042808,241111,0.0,440629.589,119545.8746,45075.28567,6721.614106999999,1117.9161550000001,0.0,0.135324639,2280.850098,10.3725,0.7691
2017-02-03,957.25,1106263,268276,0.117647059,447142.0655,113706.1957,42295.92157,6911.59808,1050.557372,0.0,0.135382048,2297.419922,10.27,0.7641
2017-02-06,963.75,705010,160495,0.0,452135.9605,120480.5165,43174.70317,7086.801036,1045.977552,0.0,0.134847495,2292.560059,10.36,0.7563
2017-02-07,963.5,534056,117832,0.0,452320.94,118871.3,43536.09,6794.53,1075.2,0.0,0.133905409,2293.080078,10.4275,0.7509
2017-02-08,967.5,1124028,241568,0.0,429852.3873,105320.9523,56795.8732,6557.012671,1080.002621,0.0,0.134282314,2294.669922,10.5875,0.7525
2017-02-09,966.5,875315,187485,0.125,458192.4437,100379.4621,59718.500889999996,6767.200602,1033.5150529999999,0.0,0.134274539,2307.8701170000004,10.505,0.7558
2017-02-10,966.5,356367,81639,0.0,436907.2328,105070.8881,57807.73412000001,6701.942786,1038.181543,0.0,0.13485504199999998,2316.100098,10.59,0.7582
2017-02-13,966.75,244511,40660,0.0,466132.8221,107465.761,59426.39942,6879.184152,1082.3588519999998,0.0,0.134936164,2328.25,10.5425,0.7661
2017-02-14,965.75,459057,91482,0.0,452305.41,105288.23,57134.68,6794.53,1075.2,0.0,0.134941326,2337.580078,10.45,0.7632
2017-02-15,972.75,991177,259443,0.0625,430107.6193,134565.4566,76629.83647000001,6561.214702,1045.061387,0.0,0.134950014,2349.25,10.6125,0.7571
2017-02-16,967.25,657803,131743,0.0,411839.1047,133827.093,70627.2192,6473.511049000001,1066.386736,0.0,0.13501365199999998,2347.219971,10.4375,0.7501
2017-02-17,965.75,761912,153317,0.0,417714.0021,125898.7981,73850.06161,6590.845204,1078.223839,0.0,0.13470848800000002,2351.159912,10.325,0.7348
2017-02-21,965.75,319131,65769,0.0,412402.42,128830.0,73495.9,6808.39,1061.34,0.0,0.134316868,2365.3798829999996,10.2625,0.7352
2017-02-22,967.25,195970,28352,0.0,395680.7729,139615.7497,75370.73357000001,8854.999073,1040.2658789999998,0.0,0.13415226,2362.820068,10.2275,0.7414
2017-02-23,965.75,56246,10563,0.055555556,403880.8291,131977.8443,78066.66006000001,8910.253607999999,1087.1093050000002,0.0,0.134715317,2363.810059,10.137,0.7524
2017-02-24,966.5,510786,100654,0.03125,397907.2422,130397.3168,73030.14198,8344.597218,1089.224154,0.0,0.134792527,2367.340088,10.177999999999999,0.7588
