Date,Close,Likes,Retweets,percent,None,D0,D1,D2,D3,D4,average_sum,SP500Close,SoyBeanPrice,CottonPrice
12/1/2016,957.25,221826,40107,0,336998.9284,191854.5329,86778.19922,9854.40664,0,0,0.139087376,2191.080078,10.2975,0.709
12/2/2016,958.75,72196,17283,0.023809524,341159.4616,176903.0261,84844.77199,9839.407615,0,0,0.139271529,2191.949951,10.275,0.7104
12/5/2016,963.25,275414,74014,0,347816.3728,181742.6421,82111.34313,10087.01702,0,0,0.139569676,2204.709961,10.435,0.7101
12/6/2016,963,376113,105548,0,343109.15,184302.86,84970.45,10215.6,0,0,0.139503515,2212.22998,10.4775,0.7133
12/7/2016,966.5,172919,37870,0,367711.5338,173051.2964,88704.31753,9265.668119,0,0,0.139933814,2241.350098,10.49,0.7105
12/8/2016,958,244994,57000,0,350451.5646,166539.7179,83257.48681,9359.859817,0,0,0.140314881,2246.189941,10.27,0.7142
12/9/2016,973.25,100190,23799,0,352962.6553,179193.7842,82745.41854,9745.880929,0,0,0.140384628,2259.530029,10.375,0.708
12/12/2016,969.25,460465,129075,0,344744.8105,177132.4343,85808.20158,8966.809161,0,0,0.140865525,2256.959961,10.31,0.7169
12/13/2016,967.5,446182,111168,0,357078.98,171571.67,84600.3,9347.09,0,0,0.140901259,2271.719971,10.28,0.7204
12/14/2016,965,100618,27437,0,345609.0585,179542.8693,78878.06669,10550.09337,0,0,0.139463788,2253.280029,10.2375,0.7147
12/15/2016,967.25,301584,79646,0,357767.749,168009.8439,78352.71284,10692.94015,0,0,0.138885317,2262.030029,10.29,0.7167
12/16/2016,968.25,245957,67582,0,359918.4329,173635.6988,81679.10302,10579.49011,0,0,0.138842665,2258.070068,10.3675,0.7104
12/19/2016,963.25,337636,98635,0,344236.6444,177574.3028,80431.08194,10729.91848,0,0,0.138233623,2262.530029,10.215,0.6957
12/20/2016,957.5,313978,78405,0,355539.79,175311.34,81486.28,10260.62,0,0,0.138595643,2270.76001,10.0525,0.6934
12/21/2016,961,205662,48458,0,413302.7514,167922.0614,46935.98197,8969.099231,0,0,0.138251365,2265.179932,10.0675,0.7013
12/22/2016,952,311452,79157,0,391902.8444,157540.9717,47674.34756,8759.722242,0,0,0.137657931,2260.959961,9.945,0.702
12/23/2016,948.75,455676,132165,0.076923077,394289.3779,165370.0459,50594.38258,9013.685647,0,0,0.137233056,2263.790039,9.89,0.6987
12/27/2016,962,238951,55892,0,402038.24,162619.35,49206.99,8733.48,0,0,0.136873067,2268.879883,10.1665,0.6974
12/28/2016,956.25,472614,129656,0.037037037,412906.7247,147769.8351,64832.58678,8160.971386,1040.356113,0,0.136950134,2249.919922,10.1065,0.6975
