Date,num_farmers_tweets,num_tweets,Likes,Retweets,percent
11/14/2016 0:00,0,0,0,0,0
11/15/2016 0:00,1,55,307302,88748,0.018181818
11/16/2016 0:00,0,22,476359,129277,0
11/17/2016 0:00,0,32,96513,21195,0
11/18/2016 0:00,0,25,406210,112886,0
11/19/2016 0:00,0,15,426736,107057,0
11/20/2016 0:00,0,34,380617,88767,0
11/21/2016 0:00,3,24,102370,41867,0.125
11/22/2016 0:00,3,28,628246,150630,0.107142857
11/23/2016 0:00,2,52,132520,27657,0.038461538
11/24/2016 0:00,0,24,492277,128094,0
11/25/2016 0:00,0,0,0,0,0
11/26/2016 0:00,0,49,209846,99483,0
11/27/2016 0:00,2,51,842812,235878,0.039215686
11/28/2016 0:00,0,26,255314,69557,0
11/29/2016 0:00,1,44,763929,218634,0.022727273
11/30/2016 0:00,0,45,589842,156823,0
12/1/2016 0:00,0,36,221826,40107,0
12/2/2016 0:00,1,42,72196,17283,0.023809524
12/3/2016 0:00,0,23,414742,109332,0
12/4/2016 0:00,0,30,650679,167929,0
12/5/2016 0:00,0,35,275414,74014,0
12/6/2016 0:00,0,62,376113,105548,0
12/7/2016 0:00,0,20,172919,37870,0
12/8/2016 0:00,0,24,244994,57000,0
12/9/2016 0:00,0,55,100190,23799,0
12/10/2016 0:00,0,37,358759,103498,0
12/11/2016 0:00,0,20,212989,40882,0
12/12/2016 0:00,0,13,460465,129075,0
12/13/2016 0:00,0,19,446182,111168,0
12/14/2016 0:00,0,19,100618,27437,0
12/15/2016 0:00,0,16,301584,79646,0
12/16/2016 0:00,0,7,245957,67582,0
12/17/2016 0:00,1,43,215690,55940,0.023255814
12/18/2016 0:00,0,12,255857,67400,0
12/19/2016 0:00,0,31,337636,98635,0
12/20/2016 0:00,0,18,313978,78405,0
12/21/2016 0:00,0,23,205662,48458,0
12/22/2016 0:00,0,16,311452,79157,0
12/23/2016 0:00,2,26,455676,132165,0.076923077
12/24/2016 0:00,2,33,343885,90317,0.060606061
12/25/2016 0:00,0,26,369948,94246,0
12/26/2016 0:00,0,36,297387,74458,0
12/27/2016 0:00,0,9,238951,55892,0
12/28/2016 0:00,1,27,472614,129656,0.037037037
12/29/2016 0:00,1,26,45609,11330,0.038461538
12/30/2016 0:00,0,30,207259,64994,0
12/31/2016 0:00,2,25,406461,160911,0.08
1/1/2017 0:00,2,25,126230,72804,0.08
1/2/2017 0:00,5,34,467917,117311,0.147058824
1/3/2017 0:00,2,35,572427,144006,0.057142857
1/4/2017 0:00,5,62,585129,149930,0.080645161
1/5/2017 0:00,2,24,421006,105763,0.083333333
1/6/2017 0:00,2,15,725071,185275,0.133333333
1/7/2017 0:00,0,15,583458,138691,0
1/8/2017 0:00,0,19,281440,76088,0
1/9/2017 0:00,0,13,726207,172996,0
1/10/2017 0:00,5,38,228134,56680,0.131578947
1/11/2017 0:00,0,37,514637,156971,0
1/12/2017 0:00,3,49,547614,130610,0.06122449
1/13/2017 0:00,0,12,626433,136100,0
1/14/2017 0:00,0,25,233300,56654,0
1/15/2017 0:00,0,35,726576,158347,0
1/16/2017 0:00,0,19,265493,63332,0
1/17/2017 0:00,1,14,786500,182213,0.071428571
1/18/2017 0:00,0,34,568009,103508,0
1/19/2017 0:00,0,25,769993,148230,0
1/20/2017 0:00,4,37,1867501,417567,0.108108108
1/21/2017 0:00,3,27,467521,103818,0.111111111
1/22/2017 0:00,4,41,949408,184236,0.097560976
1/23/2017 0:00,2,19,177839,26750,0.105263158
1/24/2017 0:00,0,5,495813,86707,0
1/25/2017 0:00,2,12,1112361,240014,0.166666667
1/26/2017 0:00,0,9,970602,194173,0
1/27/2017 0:00,0,18,841537,168114,0
1/28/2017 0:00,0,22,465730,83334,0
1/29/2017 0:00,2,21,968933,226253,0.095238095
1/30/2017 0:00,4,14,1077062,217651,0.285714286
1/31/2017 0:00,0,9,459100,97752,0
2/1/2017 0:00,2,15,659762,117869,0.133333333
2/2/2017 0:00,0,13,1042808,241111,0
2/3/2017 0:00,2,17,1106263,268276,0.117647059
2/4/2017 0:00,0,19,1370895,291103,0
2/5/2017 0:00,3,30,671274,133725,0.1
2/6/2017 0:00,0,25,705010,160495,0
2/7/2017 0:00,0,24,534056,117832,0
2/8/2017 0:00,0,12,1124028,241568,0
2/9/2017 0:00,2,16,875315,187485,0.125
2/10/2017 0:00,0,26,356367,81639,0
2/11/2017 0:00,0,34,863381,139353,0
2/12/2017 0:00,2,21,813482,166465,0.095238095
2/13/2017 0:00,0,21,244511,40660,0
2/14/2017 0:00,0,10,459057,91482,0
2/15/2017 0:00,2,32,991177,259443,0.0625
2/16/2017 0:00,0,25,657803,131743,0
2/17/2017 0:00,0,14,761912,153317,0
2/18/2017 0:00,0,14,384527,68413,0
2/19/2017 0:00,0,12,112115,26224,0
2/20/2017 0:00,3,19,489861,99441,0.157894737
2/21/2017 0:00,0,31,319131,65769,0
2/22/2017 0:00,0,40,195970,28352,0
2/23/2017 0:00,3,54,56246,10563,0.055555556
2/24/2017 0:00,1,32,510786,100654,0.03125
2/25/2017 0:00,2,23,872943,205912,0.086956522
2/26/2017 0:00,1,14,415491,81258,0.071428571
2/27/2017 0:00,0,13,160141,30062,0
2/28/2017 0:00,0,14,82888,11039,0
3/1/2017 0:00,0,20,302549,44919,0
3/2/2017 0:00,0,38,175684,37270,0
3/3/2017 0:00,0,13,1130917,278109,0
3/4/2017 0:00,0,18,876769,261911,0
3/5/2017 0:00,0,16,394988,92413,0
3/6/2017 0:00,0,19,361685,76408,0
3/7/2017 0:00,1,4,768373,157287,0.25
3/8/2017 0:00,6,9,546486,105882,0.666666667
3/9/2017 0:00,0,6,235193,59995,0
3/10/2017 0:00,1,11,42988,25793,0.090909091
3/11/2017 0:00,0,45,103623,16563,0
3/12/2017 0:00,0,13,0,6868,0
3/13/2017 0:00,0,15,318317,60700,0
3/14/2017 0:00,1,3,162006,37082,0.333333333
3/15/2017 0:00,1,20,611390,132889,0.05
3/16/2017 0:00,0,7,423264,86423,0
3/17/2017 0:00,0,6,256163,92247,0
3/18/2017 0:00,0,15,182202,40527,0
3/19/2017 0:00,0,16,36626,7472,0
3/20/2017 0:00,0,9,559760,119325,0
3/21/2017 0:00,0,24,313402,65453,0
3/22/2017 0:00,0,37,89890,13100,0
3/23/2017 0:00,0,14,448482,122618,0
3/24/2017 0:00,5,39,286263,59075,0.128205128
3/25/2017 0:00,2,10,341364,68203,0.2
3/26/2017 0:00,6,21,64422,15590,0.285714286
3/27/2017 0:00,1,17,108475,21319,0.058823529
3/28/2017 0:00,4,29,676408,159482,0.137931034
3/29/2017 0:00,4,13,267798,54977,0.307692308
3/30/2017 0:00,2,16,390861,84236,0.125
3/31/2017 0:00,1,11,447983,97595,0.090909091
4/1/2017 0:00,3,15,443707,117983,0.2
4/2/2017 0:00,0,7,236181,51352,0
4/3/2017 0:00,2,21,626348,152386,0.095238095
4/4/2017 0:00,0,15,136232,38472,0
4/5/2017 0:00,2,22,67325,13159,0.090909091
4/6/2017 0:00,1,15,144125,33767,0.066666667
4/7/2017 0:00,2,20,0,15195,0.1
4/8/2017 0:00,0,8,414178,75422,0
4/9/2017 0:00,0,9,134250,25997,0
4/10/2017 0:00,0,18,240826,47031,0
4/11/2017 0:00,1,12,320186,99703,0.083333333
4/12/2017 0:00,0,21,419013,79658,0
4/13/2017 0:00,1,28,439881,96496,0.035714286
4/14/2017 0:00,0,14,33563,30575,0
4/16/2017 0:00,0,35,529906,110103,0
4/17/2017 0:00,0,16,436430,106402,0
4/18/2017 0:00,1,20,384159,89537,0.05
4/19/2017 0:00,0,18,252289,54488,0
4/20/2017 0:00,0,14,220190,47604,0
4/21/2017 0:00,0,15,290714,75978,0
4/22/2017 0:00,0,10,462221,109974,0
4/23/2017 0:00,0,8,409404,89291,0
4/24/2017 0:00,6,21,319698,65447,0.285714286
4/25/2017 0:00,8,34,276742,63801,0.235294118
4/26/2017 0:00,3,30,482568,110053,0.1
4/27/2017 0:00,6,80,651292,150479,0.075
4/28/2017 0:00,24,43,201124,53260,0.558139535
4/29/2017 0:00,1,6,212117,63080,0.166666667
4/30/2017 0:00,4,41,338122,69384,0.097560976
5/1/2017 0:00,0,3,73550,15244,0
5/2/2017 0:00,2,16,210453,47067,0.125
5/3/2017 0:00,2,31,234451,54701,0.064516129
5/4/2017 0:00,0,23,436953,111694,0
5/5/2017 0:00,0,21,570926,119160,0
5/6/2017 0:00,1,24,63688,11079,0.041666667
5/7/2017 0:00,0,68,254340,88946,0
5/8/2017 0:00,0,11,469506,122742,0
5/9/2017 0:00,0,11,97331,19881,0
5/10/2017 0:00,0,8,659674,186530,0
5/11/2017 0:00,0,10,453597,140875,0
5/12/2017 0:00,0,12,690372,170309,0
5/13/2017 0:00,0,21,165563,34977,0
5/14/2017 0:00,0,17,135259,21966,0
5/15/2017 0:00,1,19,55356,11326,0.052631579
5/16/2017 0:00,0,42,436968,108190,0
5/17/2017 0:00,0,13,69370,13549,0
5/18/2017 0:00,0,17,326985,91830,0
5/19/2017 0:00,0,16,201046,40612,0
5/20/2017 0:00,0,20,183428,117398,0
5/21/2017 0:00,0,11,105991,49081,0
5/22/2017 0:00,0,6,67115,34502,0
5/23/2017 0:00,0,21,391964,87056,0
5/24/2017 0:00,0,9,168589,36158,0
5/25/2017 0:00,0,17,178907,47981,0
5/26/2017 0:00,0,14,273700,57458,0
5/27/2017 0:00,0,11,405731,84624,0
5/28/2017 0:00,0,12,583118,122727,0
5/29/2017 0:00,1,17,609551,137319,0.058823529
5/30/2017 0:00,1,10,255775,78473,0.1
5/31/2017 0:00,0,6,928518,341536,0
6/1/2017 0:00,0,21,423196,103140,0
6/2/2017 0:00,1,20,244894,132358,0.05
6/3/2017 0:00,0,10,498739,139832,0
6/4/2017 0:00,0,4,579015,190640,0
6/5/2017 0:00,4,18,602356,145922,0.222222222
6/6/2017 0:00,2,9,736268,314440,0.222222222
6/7/2017 0:00,0,3,380417,83139,0
6/8/2017 0:00,0,0,0,0,0
6/9/2017 0:00,0,5,506820,132785,0
6/10/2017 0:00,0,13,174932,41686,0
6/11/2017 0:00,0,13,396680,98698,0
6/12/2017 0:00,0,11,430663,102790,0
6/13/2017 0:00,0,16,680291,180165,0
6/14/2017 0:00,0,9,372848,81877,0
6/15/2017 0:00,0,3,866378,236246,0
6/16/2017 0:00,0,15,675605,165054,0
6/17/2017 0:00,0,7,191153,47201,0
6/18/2017 0:00,0,11,403996,120815,0
6/19/2017 0:00,0,11,457747,126627,0
6/20/2017 0:00,0,13,381696,106159,0
6/21/2017 0:00,0,31,773522,159452,0
6/22/2017 0:00,0,20,997171,248218,0
6/23/2017 0:00,1,13,349420,80468,0.076923077
6/24/2017 0:00,0,13,612443,162714,0
6/25/2017 0:00,0,36,137079,31451,0
6/26/2017 0:00,0,6,623893,171433,0
6/27/2017 0:00,0,15,713958,237096,0
6/28/2017 0:00,0,11,498026,127489,0
6/29/2017 0:00,0,11,948336,224361,0
6/30/2017 0:00,1,34,606306,146187,0.029411765
7/1/2017 0:00,0,5,1176332,292488,0
7/2/2017 0:00,0,13,982431,459705,0
7/3/2017 0:00,0,18,859662,202643,0
7/4/2017 0:00,0,16,682989,187156,0
7/5/2017 0:00,0,9,609046,129404,0
7/6/2017 0:00,0,9,429922,112439,0
7/7/2017 0:00,2,15,711462,160641,0.133333333
7/8/2017 0:00,0,2,475345,98132,0
7/9/2017 0:00,0,14,994741,233270,0
7/10/2017 0:00,1,4,503468,210435,0.25
7/11/2017 0:00,2,18,457271,134400,0.111111111
7/12/2017 0:00,5,20,1099254,274694,0.25
7/13/2017 0:00,0,5,265055,52467,0
7/14/2017 0:00,0,9,671079,133366,0
7/15/2017 0:00,0,5,583577,113591,0
7/16/2017 0:00,0,10,685937,145665,0
7/17/2017 0:00,0,16,240546,43515,0
7/18/2017 0:00,0,12,418662,98572,0
7/19/2017 0:00,1,20,375873,100533,0.05
7/20/2017 0:00,0,2,267034,63733,0
7/21/2017 0:00,0,6,330315,77174,0
