MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20191029,AR,"47,472.15","4,344.59","1,346.01",0.00,0.00,0.00,2019-10-29,2019-11-04,2
20191022,AR,"41,665.47","9,906.86","1,505.85",84.57,0.00,0.00,2019-10-22,2019-10-28,2
20191015,AR,"35,447.06","12,863.13","4,767.99",84.57,0.00,0.00,2019-10-15,2019-10-21,2
20191008,AR,"36,617.74","10,715.15","5,107.65",722.21,0.00,0.00,2019-10-08,2019-10-14,2
20191001,AR,"28,895.11","18,010.75","3,176.60","3,080.30",0.00,0.00,2019-10-01,2019-10-07,2
20190924,AR,"31,007.14","17,283.29","2,578.77","2,293.55",0.00,0.00,2019-09-24,2019-09-30,2
20190917,AR,"31,125.69","16,444.10","4,286.88","1,306.08",0.00,0.00,2019-09-17,2019-09-23,2
20190910,AR,"45,836.32","5,310.12","2,016.31",0.00,0.00,0.00,2019-09-10,2019-09-16,2
20190903,AR,"49,895.28","2,585.56",681.91,0.00,0.00,0.00,2019-09-03,2019-09-09,2
20190827,AR,"49,895.28","3,048.00",219.47,0.00,0.00,0.00,2019-08-27,2019-09-02,2
20190820,AR,"52,153.27","1,008.20",1.28,0.00,0.00,0.00,2019-08-20,2019-08-26,2
20190813,AR,"52,965.64",197.11,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,2
20190806,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,2
20190716,AR,"53,160.82",1.93,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,2
20190709,AR,"53,160.82",1.93,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,2
20190702,AR,"53,160.82",1.93,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,2
20190625,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,2
20190618,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,2
20190611,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,2
20190604,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,2
20190528,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,2
20190521,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,2
20190514,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,2
20190507,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,2
20190430,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,2
20190423,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,2
20190416,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,2
20190409,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,2
20190402,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,2
20190326,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,2
20190319,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,2
20190312,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,2
20190305,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,2
20190226,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,2
20190219,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-02-19,2019-02-25,2
20190212,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-02-12,2019-02-18,2
20190205,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-02-05,2019-02-11,2
20190129,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-01-29,2019-02-04,2
20190122,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-01-22,2019-01-28,2
20190115,AR,"53,162.75",0.00,0.00,0.00,0.00,0.00,2019-01-15,2019-01-21,2
